data,produto,categoria,quantidade_vendida,estoque_disponivel,preco,promocao
2024-01-01,Camiseta Básica,Moda,35,120,49.90,Não
2024-01-02,Camiseta Básica,Moda,40,85,49.90,Sim
2024-01-03,Camiseta Básica,Moda,28,45,49.90,Não
2024-01-04,Calça Jeans,Moda,22,90,129.90,Não
2024-01-05,Calça Jeans,Moda,30,68,129.90,Sim
2024-01-06,Calça Jeans,Moda,18,38,129.90,Não
2024-01-07,Tênis Esportivo,Calçados,15,60,299.90,Não
2024-01-08,Tênis Esportivo,Calçados,25,45,299.90,Sim
2024-01-09,Tênis Esportivo,Calçados,12,20,299.90,Não
2024-01-10,Jaqueta Inverno,Moda,10,40,199.90,Não
2024-01-11,Jaqueta Inverno,Moda,18,30,199.90,Sim
2024-01-12,Jaqueta Inverno,Moda,8,12,199.90,Não
2024-01-13,Vestido Casual,Moda,20,70,149.90,Não
2024-01-14,Vestido Casual,Moda,32,50,149.90,Sim
2024-01-15,Vestido Casual,Moda,18,18,149.90,Não
2024-01-16,Boné,Acessórios,14,55,39.90,Não
2024-01-17,Boné,Acessórios,22,41,39.90,Sim
2024-01-18,Boné,Acessórios,10,19,39.90,Não
2024-01-19,Mochila,Acessórios,8,35,179.90,Não
2024-01-20,Mochila,Acessórios,15,27,179.90,Sim
2024-01-21,Mochila,Acessórios,6,12,179.90,Não
2024-01-22,Relógio Esportivo,Acessórios,12,40,249.90,Não
